latitude,longitude,project,city,state,priinvest,pubinvest,totinvest,jobs,tech,company_name,category,public,private
25.78,-80.21,Energy Efficiency and Conservation Block Grant Program,,Florida,0,1134700,1134700,0,Other,"MIAMI-DADE, COUNTY OF",All,Yes,No
25.78,-80.21,Energy Efficiency and Conservation Block Grant Program,,Florida,0,477720,477720,0,Other,CITY OF MIAMI,All,Yes,No
26.02,-80.17,Energy Efficiency and Conservation Block Grant Program,,Florida,0,191390,191390,0,Other,CITY OF HOLLYWOOD,All,Yes,No
26.02,-80.17,Energy Efficiency and Conservation Block Grant Program,,Florida,0,173180,173180,0,Other,CITY OF MIRAMAR,All,Yes,No
26.12,-80.12,ATI,Fort Lauderdale,Florida,0,0,0,0,Nuclear,ATI,All - Manufacturing,No,Yes
26.3,-80.09,Blue Frontier,Boca Raton,Florida,20000000,0,20000000,0,Heat Pumps & Clean HVAC,Blue Frontier,All - Manufacturing,No,Yes
26.3,-98.16,Energy Efficiency and Conservation Block Grant Program,,Texas,0,153020,153020,0,Other,EDINBURG CITY OF ADMINISTRATION,All,Yes,No
26.61,-80.05,Smart Grid Investment Matching Grants Program,,Florida,0,23462167,23462167,0,Grid,CITY OF LAKE WORTH,All,Yes,No
26.61,-80.05,Energy Efficiency and Conservation Block Grant Program,,Florida,0,76380,76380,0,Other,CITY OF GREENACRES,All,Yes,No
26.7,-80.06,Current and Former Mine Land Clean Energy Demos,,Florida,0,81000000,81000000,0,Other,"Lewis Ridge Pumped Storage, LLC",All,Yes,No
26.7,-80.06,Energy Efficiency and Conservation Block Grant Program,,Florida,0,652450,652450,0,Other,COUNTY OF PALM BEACH,All,Yes,No
26.8,-80.09,Nuvision,Riviera Beach,Florida,0,0,0,500,Solar,Nuvision,All - Manufacturing,No,Yes
26.81,-80.06,Energy Storage Demonstration Pilot Grant Program,,Oregon,0,49100000,49100000,0,Grid,"NEXTERA ENERGY RESOURCES DEVELOPMENT, LLC",All,Yes,No
26.81,-80.06,Smart Grid Investment Matching Grants Program,,Florida,0,30363088,30363088,0,Grid,FLORIDA POWER & LIGHT COMPANY,All,Yes,No
26.81,-80.06,Smart Grid Investment Matching Grants Program,,Florida,0,47704894,47704894,0,Grid,SWITCHED SOURCE LLC,All,Yes,No
26.84,-80.16,Energy Efficiency and Conservation Block Grant Program,,Florida,0,123090,123090,0,Other,CITY OF PALM BEACH GARDENS,All,Yes,No
26.89,-98.31,enCore Energy,Alta Mesa,Texas,0,0,0,0,Nuclear,enCore Energy,All - Manufacturing,No,Yes
27.33,-82.53,Energy Efficiency and Conservation Block Grant Program,,Florida,0,309280,309280,0,Other,"SARASOTA, COUNTY OF",All,Yes,No
27.33,-82.53,Energy Efficiency and Conservation Block Grant Program,,Florida,0,125110,125110,0,Other,"Sarasota, City Of",All,Yes,No
27.39,-82.5,Braille Energy Systems,Sarasota,Florida,0,0,0,0,Batteries,Braille Energy Systems,All - Manufacturing,No,Yes
27.43,-80.33,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Florida,0,5828993,5828993,0,Grid,FORT PIERCE UTILITIES AUTHORITY,All,Yes,No
27.5,-99.5,Energy Efficiency and Conservation Block Grant Program,,Texas,0,271290,271290,0,Other,CITY OF LAREDO,All,Yes,No
27.51,-97.86,Four Regional Clean Direct Air Capture Hubs,,Texas,0,50000000,50000000,0,Fossil,1POINTFIVE P2 LLC,All,Yes,No
27.69,-81.5,Polar Racking,,Florida,0,0,0,10,Solar,Polar Racking,All - Manufacturing,No,Yes
27.69,-97.7,Tesla,Robstown,Texas,375000000,0,375000000,250,Batteries,Tesla,All - Manufacturing,No,Yes
27.77,-98.42,enCore Energy,Rosita,Texas,0,0,0,0,Nuclear,enCore Energy,All - Manufacturing,No,Yes
27.78,-97.39,enCore Energy,Corpus Christi,Texas,70000000,0,70000000,0,Nuclear,enCore Energy,All - Manufacturing,No,Yes
27.8,-97.2,Kiewit,Ingleside,Texas,0,0,0,0,Offshore Wind,Kiewit,All - Manufacturing,No,Yes
27.89,-97.2,Chemours,Ingleside,Texas,80000000,0,80000000,0,Heat Pumps & Clean HVAC,Chemours,All - Manufacturing,No,Yes
27.89,-82.7,SolarEdge,Seminole,Florida,0,0,0,725,Solar,SolarEdge,All - Manufacturing,No,Yes
27.9,-82.78,Energy Efficiency and Conservation Block Grant Program,,Florida,0,140740,140740,0,Other,CITY OF LARGO,All,Yes,No
27.94,-82.45,Carbon Capture Demonstration Projects Program,,Florida,0,4719722,4719722,0,Fossil,TAMPA ELECTRIC COMPANY,All,Yes,No
27.94,-82.45,Energy Efficiency and Conservation Block Grant Program,,Florida,0,413280,413280,0,Other,CITY OF TAMPA,All,Yes,No
27.94,-82.45,Energy Efficiency and Conservation Block Grant Program,,Florida,0,831960,831960,0,Other,Hillsborough County of,All,Yes,No
28.1,-97.5,JM Steel (Nextracker),Sinton,Texas,0,0,0,50,Solar,JM Steel (Nextracker),All - Manufacturing,No,Yes
28.56,-81.58,Energy Efficiency and Conservation Block Grant Program,,Florida,0,76560,76560,0,Other,CITY OF WINTER GARDEN,All,Yes,No
28.59,-80.82,Energy Efficiency and Conservation Block Grant Program,,Florida,0,76680,76680,0,Other,CITY OF TITUSVILLE,All,Yes,No
28.74,-82.06,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Florida,0,52857560,52857560,0,Grid,"SUMTER ELECTRIC COOPERATIVE, INC.",All,Yes,No
28.78,-81.27,Energy Efficiency and Conservation Block Grant Program,,Florida,0,287440,287440,0,Other,SEMINOLE COUNTY,All,Yes,No
28.95,-95.35,Battery Manufacturing and Recycling Grants,,Texas,0,100000000,100000000,0,Batteries,"Dow Chemical Company, The",All - Manufacturing,Yes,No
29,-95.29,Aleon Renewable Metals,Freeport,Texas,75000000,0,75000000,0,Batteries,Aleon Renewable Metals,All - Manufacturing,No,Yes
29.3,-98.4,Mission Solar/OCI,San Antonio,Texas,40000000,0,40000000,150,Solar,Mission Solar/OCI,All - Manufacturing,No,Yes
29.42,-98.49,Smart Grid Investment Matching Grants Program,,Texas,0,30227510,30227510,0,Grid,City Public Services Board,All,Yes,No
29.42,-98.49,Energy Efficiency and Conservation Block Grant Program,,Texas,0,464940,464940,0,Other,BEXAR COUNTY AUDITOR,All,Yes,No
29.42,-98.49,Energy Efficiency and Conservation Block Grant Program,,Texas,0,1220460,1220460,0,Other,"San Antonio, City of",All,Yes,No
29.5,-90.29,Edison Chouest Offshore,Houma,Louisiana,0,0,0,0,Offshore Wind,Edison Chouest Offshore,All - Manufacturing,No,Yes
29.6,-95,Zeon Corporation,Pasadena,Texas,0,0,0,0,Batteries,Zeon Corporation,All - Manufacturing,No,Yes
29.6,-81.59,WINDEA CTV LLC,Palatka,Florida,0,0,0,0,Offshore Wind,WINDEA CTV LLC,All - Manufacturing,No,Yes
29.6,-81.59,WINDEA CTV LLC,Palatka,Florida,0,0,0,0,Offshore Wind,WINDEA CTV LLC,All - Manufacturing,No,Yes
29.6,-95.4,PV Hardware,Houston,Texas,30000000,0,30000000,0,Solar,PV Hardware,All - Manufacturing,No,Yes
29.66,-82.33,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Florida,0,47514590,47514590,0,Grid,GAINESVILLE REGIONAL UTILITIES,All,Yes,No
29.66,-95.04,Battery Manufacturing and Recycling Grants,,Texas,0,50000000,50000000,0,Batteries,"BRASKEM AMERICA, INC",All - Manufacturing,Yes,No
29.66,-82.33,Energy Efficiency and Conservation Block Grant Program,,Florida,0,189820,189820,0,Other,GAINESVILLE REGIONAL UTILITIES,All,Yes,No
29.69,-95,Orion,La Porte,Texas,120000000,0,120000000,0,Batteries,Orion,All - Manufacturing,No,Yes
29.69,-94.9,JSW Steel USA,Baytown,Texas,110000000,0,110000000,0,Offshore Wind,JSW Steel USA,All - Manufacturing,No,Yes
29.69,-95.09,Braskem America,La Porte,Texas,50000000,0,50000000,250,Batteries,Braskem America,All - Manufacturing,No,Yes
29.76,-95.35,John Cockerill Hydrogen North America,Houston,Texas,34000000,0,34000000,200,Hydrogen,John Cockerill Hydrogen North America,All - Manufacturing,No,Yes
29.76,-95.38,Carbon Capture Demonstration Projects Program,,Texas,0,270000000,270000000,0,Fossil,"CALPINE TEXAS CCUS HOLDINGS, LLC",All,Yes,No
29.76,-95.38,Carbon Capture Demonstration Projects Program,,California,0,270000000,270000000,0,Fossil,SUTTER CCUS LLC,All,Yes,No
29.76,-95.38,Four Regional Clean Direct Air Capture Hubs,,Texas,0,3000000,3000000,0,Fossil,CHEVRON U.S.A. INC.,All,Yes,No
29.76,-95.38,Four Regional Clean Direct Air Capture Hubs,,Texas,0,2861106,2861106,0,Fossil,FERVO ENERGY COMPANY,All,Yes,No
29.76,-95.38,Advanced Energy Manufacturing and Recycling Grant,,Texas,0,80001256,80001256,0,Other,"METOX INTERNATIONAL, INC.",All - Manufacturing,Yes,No
29.76,-95.38,Advanced Industrial Facilities Deployment Program,,Florida,0,380000,380000,0,Other,"DEFENSEWERX, INC.",All - Manufacturing,Yes,No
29.76,-95.38,Advanced Industrial Facilities Deployment Program,,Virginia,0,61700000,61700000,0,Other,ROANOKE CEMENT COMPANY LLC,All - Manufacturing,Yes,No
29.76,-95.38,Industrial Emissions Demonstration Projects,,Texas,0,200000000,200000000,0,Other,"Technip Energies USA, Inc.",All - Manufacturing,Yes,No
29.76,-95.38,Clean Hydrogen Electrolysis Program,,Texas,0,50000000,50000000,0,Hydrogen,"THYSSENKRUPP NUCERA USA, INC.",All,Yes,No
29.76,-95.38,Energy Efficiency and Conservation Block Grant Program,,Texas,0,1636340,1636340,0,Other,"Harris, County Of",All,Yes,No
29.76,-95.38,Energy Efficiency and Conservation Block Grant Program,,Texas,0,2006020,2006020,0,Other,"HOUSTON, CITY OF",All,Yes,No
29.76,-95.38,Efficient End-Use Technologies,,Texas,0,213600000,213600000,0,Grid,BIOFORGE MARSHALL LLC,All - Manufacturing,Yes,No
29.76,-95.38,Renewable Energy Systems,,Tennessee,0,3333333333,3333333333,0,Other,SUNNOVA ENERGY CORPORATION,All - Manufacturing,Yes,No
29.8,-95.5,ACE Green Energy,Houston,Texas,3000000,0,3000000,0,Batteries,ACE Green Energy,All - Manufacturing,No,Yes
29.8,-91.5,WINDEA CTV LLC,Franklin,Louisiana,0,0,0,0,Offshore Wind,WINDEA CTV LLC,All - Manufacturing,No,Yes
29.8,-90.4,Otto Candies LLC,Des Allemands,Louisiana,0,0,0,0,Offshore Wind,Otto Candies LLC,All - Manufacturing,No,Yes
29.8,-96.2,Alpha Steel,Sealy,Texas,0,0,0,0,Solar,Alpha Steel,All - Manufacturing,No,Yes
29.8,-96,Toshiba Mitsubishi-Electric Industrial Systems Corporation (TMEIC),Brookshire,Texas,0,0,0,0,Solar,Toshiba Mitsubishi-Electric Industrial Systems Corporation (TMEIC),All - Manufacturing,No,Yes
29.8,-96,Waaree Energies,Brookshire,Texas,0,0,0,0,Solar,Waaree Energies,All - Manufacturing,No,Yes
29.8,-95.4,UKT New Energy (SEG Solar),Houston,Texas,0,0,0,0,Solar,UKT New Energy (SEG Solar),All - Manufacturing,No,Yes
29.8,-95.4,Unimacts (Origami Solar),Houston,Texas,0,0,0,0,Solar,Unimacts (Origami Solar),All - Manufacturing,No,Yes
29.8,-95.59,Zeta Energy,West Houston,Texas,0,0,0,40,Batteries,Zeta Energy,All - Manufacturing,No,Yes
29.8,-96,Sirius PV USA (Elin Energy),Brookshire,Texas,0,0,0,500,Solar,Sirius PV USA (Elin Energy),All - Manufacturing,No,Yes
29.8,-96,Waaree Energies,Brookshire,Texas,1000000000,0,1000000000,1500,Solar,Waaree Energies,All - Manufacturing,No,Yes
29.88,-93.94,Energy Efficiency and Conservation Block Grant Program,,Texas,0,118760,118760,0,Other,CITY OF PORT ARTHUR,All,Yes,No
29.89,-95.59,TexPower,Houston,Texas,0,0,0,0,Batteries,TexPower,All - Manufacturing,No,Yes
29.89,-95.59,SEG Solar,Houston,Texas,0,0,0,500,Solar,SEG Solar,All - Manufacturing,No,Yes
29.89,-95.59,SEG Solar,Houston,Texas,60000000,0,60000000,500,Solar,SEG Solar,All - Manufacturing,No,Yes
29.96,-90.41,Carbon Capture Demonstration Projects Program,,Louisiana,0,0,0,0,Fossil,"TAFT CARBON CAPTURE, LLC",All,Yes,No
29.97,-90.07,Carbon Capture Demonstration Projects Program,,Louisiana,0,9221328,9221328,0,Fossil,"ENTERGY SERVICES, LLC",All,Yes,No
29.97,-90.07,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Louisiana,0,54828178,54828178,0,Grid,"Entergy New Orleans, LLC",All,Yes,No
29.97,-90.07,Energy Efficiency and Conservation Block Grant Program,,Louisiana,0,381470,381470,0,Other,NEW ORLEANS COMMISSION ON THE BICENTENNIAL OF THE CONSTITUTION,All,Yes,No
29.97,-90.07,IRA Section 50131b Building Energy Code,,Louisiana,0,10000000,10000000,0,Other,NEW ORLEANS COMMISSION ON THE BICENTENNIAL OF THE CONSTITUTION,All,Yes,No
30,-97.9,Xcharge North America,Kyle,Texas,0,0,0,0,Electric Vehicles,Xcharge North America,All - Manufacturing,No,Yes
30,-90.29,Ube Corporation,Waggaman,Louisiana,500000000,0,500000000,56,Batteries,Ube Corporation,All - Manufacturing,No,Yes
30,-97.9,Futronic,Buda,Texas,28000000,0,28000000,350,Electric Vehicles,Futronic,All - Manufacturing,No,Yes
30,-95.59,Imperial Star Solar,Tomball,Texas,0,0,0,350,Solar,Imperial Star Solar,All - Manufacturing,No,Yes
30,-91.9,First Solar,New Iberia,Louisiana,1100000000,0,1100000000,700,Solar,First Solar,All - Manufacturing,No,Yes
30.02,-90.82,Advanced Industrial Facilities Deployment Program,,Louisiana,0,282853384,282853384,0,Other,Vale USA LLC,All - Manufacturing,Yes,No
30.05,-95.92,IRA Section 30001 Defense Production Act,,Texas,0,39000000,39000000,0,Heat Pumps & Clean HVAC,DAIKIN COMFORT TECHNOLOGIES NORTH AMERICA INC,All - Manufacturing,Yes,No
30.08,-94.12,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Texas,0,53755375,53755375,0,Grid,"ENTERGY TEXAS, INC.",All,Yes,No
30.08,-94.12,Energy Efficiency and Conservation Block Grant Program,,Texas,0,168420,168420,0,Other,CITY OF BEAUMONT,All,Yes,No
30.1,-85.59,Hornbeck Offshore Services,Panama City,Florida,0,0,0,0,Offshore Wind,Hornbeck Offshore Services,All - Manufacturing,No,Yes
30.1,-90.9,Element 25,Burnside,Louisiana,289000000,0,289000000,220,Batteries,Element 25,All - Manufacturing,No,Yes
30.19,-97.59,Tesla,Austin,Texas,260000000,0,260000000,0,Batteries,Tesla,All - Manufacturing,No,Yes
30.19,-97.59,Tesla,Austin,Texas,372000000,0,372000000,0,Batteries,Tesla,All - Manufacturing,No,Yes
30.19,-91.09,Honeywell,Geismar,Louisiana,127000000,0,127000000,70,Batteries,Honeywell,All - Manufacturing,No,Yes
30.19,-92.9,Ice Industries,Lacassine,Louisiana,6000000,0,6000000,70,Solar,Ice Industries,All - Manufacturing,No,Yes
30.19,-91,Shenzen Capchem,Geismar,Louisiana,350000000,0,350000000,95,Batteries,Shenzen Capchem,All - Manufacturing,No,Yes
30.2,-91.02,Battery Manufacturing and Recycling Grants,,Louisiana,0,123836497,123836497,0,Batteries,HONEYWELL INTERNATIONAL INC,All - Manufacturing,Yes,No
30.24,-92.01,Building Training and Assessment Centers,,Louisiana,0,900000,900000,0,Other,University of Louisiana at Lafayette,All,Yes,No
30.25,-91.09,Battery Material Processing Grants,,Louisiana,0,100000000,100000000,0,Batteries,Mexichem Fluor Inc.,All - Manufacturing,Yes,No
30.26,-97.73,Aalo Atomics,Austin,Texas,0,0,0,0,Nuclear,Aalo Atomics,All - Manufacturing,No,Yes
30.3,-81.9,Saft,Jacksonville,Florida,0,0,0,0,Batteries,Saft,All - Manufacturing,No,Yes
30.3,-81.9,JinkoSolar,Jacksonville,Florida,50000000,0,50000000,300,Solar,JinkoSolar,All - Manufacturing,No,Yes
30.3,-97.73,Energy Efficiency and Conservation Block Grant Program,,Texas,0,293610,293610,0,Other,"Travis, County of",All,Yes,No
30.3,-97.73,Energy Efficiency and Conservation Block Grant Program,,Texas,0,4848610,4848610,0,Other,"COMPTROLLER OF PUBLIC ACCOUNTS, TEXAS",All,Yes,No
30.3,-97.73,Energy Efficiency and Conservation Block Grant Program,,Texas,0,855340,855340,0,Other,City of Austin,All,Yes,No
30.3,-97.73,Energy Efficiency Revolving Loan Fund Capitalization Grant Program,,Texas,0,22365890,22365890,0,Other,"COMPTROLLER OF PUBLIC ACCOUNTS, TEXAS",All,Yes,No
30.3,-97.73,Grants for EE and RE Improvements at Public School Facilities,,Texas,0,14946533,14946533,0,Other,AUSTIN ISD,All,Yes,No
30.3,-97.73,IRA Section 50121 Home Energy Whole House Rebates,,Texas,0,2500000,2500000,0,Other,"COMPTROLLER OF PUBLIC ACCOUNTS, TEXAS",All,Yes,No
30.3,-97.73,IRA Section 50122A High Efficiency Rebate Program States,,Texas,0,2500000,2500000,0,Other,"COMPTROLLER OF PUBLIC ACCOUNTS, TEXAS",All,Yes,No
30.3,-97.73,State Energy Program Grants,,Texas,0,33129120,33129120,0,Other,"COMPTROLLER OF PUBLIC ACCOUNTS, TEXAS",All,Yes,No
30.3,-97.73,Weatherization Assistance Program,,Texas,0,173162598,173162598,0,Other,"HOUSING & COMMUNITY AFFAIRS, TEXAS DEPARTMENT OF",All,Yes,No
30.31,-95.45,Energy Efficiency and Conservation Block Grant Program,,Texas,0,457580,457580,0,Other,COUNTY OF MONTGOMERY,All,Yes,No
30.31,-95.45,Energy Efficiency and Conservation Block Grant Program,,Texas,0,145460,145460,0,Other,"Conroe, City Of",All,Yes,No
30.31,-81.65,Energy Efficiency and Conservation Block Grant Program,,Florida,0,845350,845350,0,Other,"JACKSONVILLE, CITY OF",All,Yes,No
30.39,-84.29,Danfoss,Tallahassee,Florida,62000000,0,62000000,0,Heat Pumps & Clean HVAC,Danfoss,All - Manufacturing,No,Yes
30.39,-87.2,GE Vernova,Pensacola,Florida,20000000,0,20000000,0,Land-Based Wind,GE Vernova,All - Manufacturing,No,Yes
30.39,-81.79,Cenntro Automotive,Jacksonville,Florida,25000000,0,25000000,34,Electric Vehicles,Cenntro Automotive,All - Manufacturing,No,Yes
30.39,-97.59,REE Automotive,Pflugerville,Texas,25000000,0,25000000,150,Electric Vehicles,REE Automotive,All - Manufacturing,No,Yes
30.39,-81.59,HOLON,Jacksonville,Florida,100000000,0,100000000,150,Electric Vehicles,HOLON,All - Manufacturing,No,Yes
30.39,-97.79,SolarEdge,Austin,Texas,0,0,0,900,Solar,SolarEdge,All - Manufacturing,No,Yes
30.43,-84.28,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Florida,0,28696679,28696679,0,Grid,"TALLAHASSEE, CITY OF (INC)",All,Yes,No
30.43,-84.28,Energy Efficiency and Conservation Block Grant Program,,Florida,0,3477450,3477450,0,Other,DEPARTMENT OF AGRICULTURE & CONSUMER SERVICES FLORIDA,All,Yes,No
30.43,-84.28,IRA Section 50121 Home Energy Whole House Rebates,,Florida,0,2500000,2500000,0,Other,DEPARTMENT OF AGRICULTURE & CONSUMER SERVICES FLORIDA,All,Yes,No
