row_id,GEOIDFQ,geocoded_state,geocoded_latitude,geocoded_longitude,join_type,original_latitude,original_longitude,project,city,state,priinvest,pubinvest,totinvest,jobs,tech,company_name,category,public,private,Representative,Party,District,Census Region
29,,,17.98,-94.54,not applicable,17.98,-94.54,IRA Section 50122A High Efficiency Rebate Program States,,Guam,0,1176791,1176791,0,Other,GUAM ENERGY OFFICE,All,Yes,No,Undetermined,Undetermined,,
30,,,17.98,-94.54,not applicable,17.98,-94.54,IRA Section 50131b Building Energy Code,,Guam,0,4152560,4152560,0,Other,GUAM ENERGY OFFICE,All,Yes,No,Undetermined,Undetermined,,
31,,,17.98,-94.54,not applicable,17.98,-94.54,IRA Section 50131c Zero Energy Code,,Guam,0,4152560,4152560,0,Other,GUAM ENERGY OFFICE,All,Yes,No,Undetermined,Undetermined,,
32,,,17.98,-94.54,not applicable,17.98,-94.54,State Energy Program Grants,,Guam,0,2600880,2600880,0,Other,GUAM ENERGY OFFICE,All,Yes,No,Undetermined,Undetermined,,
33,,,17.98,-94.54,not applicable,17.98,-94.54,Weatherization Assistance Program,,Guam,0,1303123,1303123,0,Other,GUAM ENERGY OFFICE,All,Yes,No,Undetermined,Undetermined,,
34,5001900US7298,Puerto Rico,18.39,-67.2,geometry and state name,18.39,-67.2,Solx (Great Lakes Solex),Aguadilla,Puerto Rico,20000000,0,20000000,250,Solar,Solx (Great Lakes Solex),All - Manufacturing,No,Yes,Rep. Pablo José Hernández ,Democrat,PR-98,U.S. Territories
35,5001900US7298,Puerto Rico,18.46,-66.11,geometry and state name,18.46,-66.11,Energy Efficiency and Conservation Block Grant Program,,Puerto Rico,0,1855570,1855570,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No,Rep. Pablo José Hernández ,Democrat,PR-98,U.S. Territories
36,5001900US7298,Puerto Rico,18.46,-66.11,geometry and state name,18.46,-66.11,Energy Efficiency Revolving Loan Fund Capitalization Grant Program,,Puerto Rico,0,1070490,1070490,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No,Rep. Pablo José Hernández ,Democrat,PR-98,U.S. Territories
37,5001900US7298,Puerto Rico,18.46,-66.11,geometry and state name,18.46,-66.11,IRA Section 50121 Home Energy Whole House Rebates,,Puerto Rico,0,1067475,1067475,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No,Rep. Pablo José Hernández ,Democrat,PR-98,U.S. Territories
38,5001900US7298,Puerto Rico,18.46,-66.11,geometry and state name,18.46,-66.11,IRA Section 50122A High Efficiency Rebate Program States,,Puerto Rico,0,1061277,1061277,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No,Rep. Pablo José Hernández ,Democrat,PR-98,U.S. Territories
39,5001900US7298,Puerto Rico,18.46,-66.11,geometry and state name,18.46,-66.11,State Energy Program Grants,,Puerto Rico,0,4670780,4670780,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No,Rep. Pablo José Hernández ,Democrat,PR-98,U.S. Territories
40,5001900US7298,Puerto Rico,18.46,-66.11,geometry and state name,18.46,-66.11,Weatherization Assistance Program,,Puerto Rico,0,37912811,37912811,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No,Rep. Pablo José Hernández ,Democrat,PR-98,U.S. Territories
41,5001900US1502,Hawaii,19.7,-155.08,geometry and state name,19.7,-155.08,Energy Efficiency and Conservation Block Grant Program,,Hawaii,0,228640,228640,0,Other,COUNTY OF HAWAII,All,Yes,No,Rep. Jill Tokuda ,Democrat,HI-02,West
42,5001900US1501,Hawaii,21.3,-157.85,geometry and state name,21.3,-157.85,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Hawaii,0,95313716,95313716,0,Grid,"HAWAIIAN ELECTRIC COMPANY, INC.",All,Yes,No,Rep. Ed Case ,Democrat,HI-01,West
43,5001900US1501,Hawaii,21.3,-157.85,geometry and state name,21.3,-157.85,Smart Grid Investment Matching Grants Program,,Hawaii,0,39858257,39858257,0,Grid,AMERESCO INC,All,Yes,No,Rep. Ed Case ,Democrat,HI-01,West
44,5001900US1501,Hawaii,21.3,-157.85,geometry and state name,21.3,-157.85,State Manufacturing Leadership,,Hawaii,0,1054012,1054012,0,Other,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM, HAWAII DEPARTMENT OF",All - Manufacturing,Yes,No,Rep. Ed Case ,Democrat,HI-01,West
45,5001900US1501,Hawaii,21.3,-157.85,geometry and state name,21.3,-157.85,Energy Efficiency and Conservation Block Grant Program,,Hawaii,0,1639120,1639120,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No,Rep. Ed Case ,Democrat,HI-01,West
46,5001900US1501,Hawaii,21.3,-157.85,geometry and state name,21.3,-157.85,Energy Efficiency and Conservation Block Grant Program,,Hawaii,0,844500,844500,0,Other,"Honolulu, City & County Of",All,Yes,No,Rep. Ed Case ,Democrat,HI-01,West
47,5001900US1501,Hawaii,21.3,-157.85,geometry and state name,21.3,-157.85,IRA Section 50121 Home Energy Whole House Rebates,,Hawaii,0,315512,315512,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No,Rep. Ed Case ,Democrat,HI-01,West
48,5001900US1501,Hawaii,21.3,-157.85,geometry and state name,21.3,-157.85,IRA Section 50122A High Efficiency Rebate Program States,,Hawaii,0,34093900,34093900,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No,Rep. Ed Case ,Democrat,HI-01,West
49,5001900US1501,Hawaii,21.3,-157.85,geometry and state name,21.3,-157.85,IRA Section 50131b Building Energy Code,,Hawaii,0,7324540,7324540,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No,Rep. Ed Case ,Democrat,HI-01,West
50,5001900US1501,Hawaii,21.3,-157.85,geometry and state name,21.3,-157.85,IRA Section 50131c Zero Energy Code,,Hawaii,0,7324540,7324540,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No,Rep. Ed Case ,Democrat,HI-01,West
51,5001900US1501,Hawaii,21.3,-157.85,geometry and state name,21.3,-157.85,State Energy Program Grants,,Hawaii,0,3512680,3512680,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No,Rep. Ed Case ,Democrat,HI-01,West
52,5001900US1501,Hawaii,21.3,-157.85,geometry and state name,21.3,-157.85,Weatherization Assistance Program,,Hawaii,0,3641796,3641796,0,Other,"LABOR AND INDUSTRIAL RELATIONS, HAWAII DEPARTMENT OF",All,Yes,No,Rep. Ed Case ,Democrat,HI-01,West
53,5001900US1227,Florida,25.78,-80.21,geometry and state name,25.78,-80.21,Building Training and Assessment Centers,,Florida,0,900000,900000,0,Other,UNIVERSITY OF MIAMI,All,Yes,No,Rep. María Salazar ,Republican,FL-27,South
54,5001900US1227,Florida,25.78,-80.21,geometry and state name,25.78,-80.21,Energy Efficiency and Conservation Block Grant Program,,Florida,0,1134700,1134700,0,Other,"MIAMI-DADE, COUNTY OF",All,Yes,No,Rep. María Salazar ,Republican,FL-27,South
55,5001900US1227,Florida,25.78,-80.21,geometry and state name,25.78,-80.21,Energy Efficiency and Conservation Block Grant Program,,Florida,0,477720,477720,0,Other,CITY OF MIAMI,All,Yes,No,Rep. María Salazar ,Republican,FL-27,South
56,5001900US1225,Florida,26.02,-80.17,geometry and state name,26.02,-80.17,Energy Efficiency and Conservation Block Grant Program,,Florida,0,191390,191390,0,Other,CITY OF HOLLYWOOD,All,Yes,No,Rep. Debbie Wasserman Schultz ,Democrat,FL-25,South
57,5001900US1225,Florida,26.02,-80.17,geometry and state name,26.02,-80.17,Energy Efficiency and Conservation Block Grant Program,,Florida,0,173180,173180,0,Other,CITY OF MIRAMAR,All,Yes,No,Rep. Debbie Wasserman Schultz ,Democrat,FL-25,South
58,5001900US1223,Florida,26.12,-80.12,geometry and state name,26.12,-80.12,ATI,Fort Lauderdale,Florida,0,0,0,0,Nuclear,ATI,All - Manufacturing,No,Yes,Rep. Jared Moskowitz ,Democrat,FL-23,South
59,5001900US1223,Florida,26.3,-80.09,geometry and state name,26.3,-80.09,Blue Frontier,Boca Raton,Florida,20000000,0,20000000,0,Heat Pumps & Clean HVAC,Blue Frontier,All - Manufacturing,No,Yes,Rep. Jared Moskowitz ,Democrat,FL-23,South
60,5001900US4815,Texas,26.3,-98.16,geometry and state name,26.3,-98.16,Energy Efficiency and Conservation Block Grant Program,,Texas,0,153020,153020,0,Other,EDINBURG CITY OF ADMINISTRATION,All,Yes,No,Rep. Monica De La Cruz ,Republican,TX-15,South
61,5001900US1222,Florida,26.61,-80.05,geometry and state name,26.61,-80.05,Smart Grid Investment Matching Grants Program,,Florida,0,23462167,23462167,0,Grid,CITY OF LAKE WORTH,All,Yes,No,Rep. Lois Frankel ,Democrat,FL-22,South
62,5001900US1222,Florida,26.61,-80.05,geometry and state name,26.61,-80.05,Energy Efficiency and Conservation Block Grant Program,,Florida,0,76380,76380,0,Other,CITY OF GREENACRES,All,Yes,No,Rep. Lois Frankel ,Democrat,FL-22,South
63,5001900US1222,Florida,26.7,-80.06,geometry and state name³,26.7,-80.06,Current and Former Mine Land Clean Energy Demos,,Florida,0,81000000,81000000,0,Other,"Lewis Ridge Pumped Storage, LLC",All,Yes,No,Undetermined,Democrat,,South
64,5001900US1222,Florida,26.7,-80.06,geometry and state name³,26.7,-80.06,Energy Efficiency and Conservation Block Grant Program,,Florida,0,652450,652450,0,Other,COUNTY OF PALM BEACH,All,Yes,No,Undetermined,Democrat,,South
65,5001900US1221,Florida,26.8,-80.09,geometry and state name,26.8,-80.09,Nuvision,Riviera Beach,Florida,0,0,0,500,Solar,Nuvision,All - Manufacturing,No,Yes,Rep. Brian Mast ,Republican,FL-21,South
66,5001900US1221,Florida,26.81,-80.06,geometry alone; state name conflicts,26.81,-80.06,Energy Storage Demonstration Pilot Grant Program,,Oregon,0,49100000,49100000,0,Grid,"NEXTERA ENERGY RESOURCES DEVELOPMENT, LLC",All,Yes,No,Undetermined,Undetermined,,
67,5001900US1221,Florida,26.81,-80.06,geometry and state name,26.81,-80.06,Smart Grid Investment Matching Grants Program,,Florida,0,30363088,30363088,0,Grid,FLORIDA POWER & LIGHT COMPANY,All,Yes,No,Rep. Brian Mast ,Republican,FL-21,South
68,5001900US1221,Florida,26.81,-80.06,geometry and state name,26.81,-80.06,Smart Grid Investment Matching Grants Program,,Florida,0,47704894,47704894,0,Grid,SWITCHED SOURCE LLC,All,Yes,No,Rep. Brian Mast ,Republican,FL-21,South
69,5001900US1221,Florida,26.84,-80.16,geometry and state name,26.84,-80.16,Energy Efficiency and Conservation Block Grant Program,,Florida,0,123090,123090,0,Other,CITY OF PALM BEACH GARDENS,All,Yes,No,Rep. Brian Mast ,Republican,FL-21,South
70,5001900US4815,Texas,26.89,-98.31,geometry and state name,26.89,-98.31,enCore Energy,Alta Mesa,Texas,0,0,0,0,Nuclear,enCore Energy,All - Manufacturing,No,Yes,Rep. Monica De La Cruz ,Republican,TX-15,South
71,5001900US1217,Florida,27.33,-82.53,geometry and state name,27.33,-82.53,Energy Efficiency and Conservation Block Grant Program,,Florida,0,309280,309280,0,Other,"SARASOTA, COUNTY OF",All,Yes,No,Rep. Greg Steube ,Republican,FL-17,South
72,5001900US1217,Florida,27.33,-82.53,geometry and state name,27.33,-82.53,Energy Efficiency and Conservation Block Grant Program,,Florida,0,125110,125110,0,Other,"Sarasota, City Of",All,Yes,No,Rep. Greg Steube ,Republican,FL-17,South
73,5001900US1216,Florida,27.39,-82.5,geometry and state name,27.39,-82.5,Braille Energy Systems,Sarasota,Florida,0,0,0,0,Batteries,Braille Energy Systems,All - Manufacturing,No,Yes,Rep. Vern Buchanan ,Republican,FL-16,South
74,5001900US1221,Florida,27.43,-80.33,geometry and state name,27.43,-80.33,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Florida,0,5828993,5828993,0,Grid,FORT PIERCE UTILITIES AUTHORITY,All,Yes,No,Rep. Brian Mast ,Republican,FL-21,South
75,5001900US4828,Texas,27.5,-99.5,geometry and state name,27.5,-99.5,Energy Efficiency and Conservation Block Grant Program,,Texas,0,271290,271290,0,Other,CITY OF LAREDO,All,Yes,No,Rep. Henry Cuellar ,Democrat,TX-28,South
76,5001900US4834,Texas,27.51,-97.86,geometry and state name,27.51,-97.86,Four Regional Clean Direct Air Capture Hubs,,Texas,0,50000000,50000000,0,Fossil,1POINTFIVE P2 LLC,All,Yes,No,Rep. Vicente Gonzalez ,Democrat,TX-34,South
77,5001900US1218,Florida,27.69,-81.5,geometry and state name,27.69,-81.5,Polar Racking,,Florida,0,0,0,10,Solar,Polar Racking,All - Manufacturing,No,Yes,Rep. Scott Franklin ,Republican,FL-18,South
78,5001900US4827,Texas,27.69,-97.7,geometry and state name,27.69,-97.7,Tesla,Robstown,Texas,375000000,0,375000000,250,Batteries,Tesla,All - Manufacturing,No,Yes,Rep. Michael Cloud ,Republican,TX-27,South
79,5001900US4828,Texas,27.77,-98.42,geometry and state name,27.77,-98.42,enCore Energy,Rosita,Texas,0,0,0,0,Nuclear,enCore Energy,All - Manufacturing,No,Yes,Rep. Henry Cuellar ,Democrat,TX-28,South
80,5001900US4827,Texas,27.78,-97.39,geometry and state name,27.78,-97.39,enCore Energy,Corpus Christi,Texas,70000000,0,70000000,0,Nuclear,enCore Energy,All - Manufacturing,No,Yes,Rep. Michael Cloud ,Republican,TX-27,South
81,5001900US4827,Texas,27.8,-97.2,geometry and state name,27.8,-97.2,Kiewit,Ingleside,Texas,0,0,0,0,Offshore Wind,Kiewit,All - Manufacturing,No,Yes,Rep. Michael Cloud ,Republican,TX-27,South
82,5001900US4827,Texas,27.89,-97.2,geometry and state name,27.89,-97.2,Chemours,Ingleside,Texas,80000000,0,80000000,0,Heat Pumps & Clean HVAC,Chemours,All - Manufacturing,No,Yes,Rep. Michael Cloud ,Republican,TX-27,South
83,5001900US1213,Florida,27.847,-82.795,geometry and state name¹,27.89,-82.7,SolarEdge,Seminole,Florida,0,0,0,725,Solar,SolarEdge,All - Manufacturing,No,Yes,Rep. Anna Luna ,Republican,FL-13,South
84,5001900US1213,Florida,27.9,-82.78,geometry and state name,27.9,-82.78,Energy Efficiency and Conservation Block Grant Program,,Florida,0,140740,140740,0,Other,CITY OF LARGO,All,Yes,No,Rep. Anna Luna ,Republican,FL-13,South
85,5001900US1214,Florida,27.94,-82.45,geometry and state name,27.94,-82.45,Carbon Capture Demonstration Projects Program,,Florida,0,4719722,4719722,0,Fossil,TAMPA ELECTRIC COMPANY,All,Yes,No,Rep. Kathy Castor ,Democrat,FL-14,South
86,5001900US1214,Florida,27.94,-82.45,geometry and state name,27.94,-82.45,Energy Efficiency and Conservation Block Grant Program,,Florida,0,413280,413280,0,Other,CITY OF TAMPA,All,Yes,No,Rep. Kathy Castor ,Democrat,FL-14,South
87,5001900US1214,Florida,27.94,-82.45,geometry and state name,27.94,-82.45,Energy Efficiency and Conservation Block Grant Program,,Florida,0,831960,831960,0,Other,Hillsborough County of,All,Yes,No,Rep. Kathy Castor ,Democrat,FL-14,South
88,5001900US4827,Texas,28.1,-97.5,geometry and state name,28.1,-97.5,JM Steel (Nextracker),Sinton,Texas,0,0,0,50,Solar,JM Steel (Nextracker),All - Manufacturing,No,Yes,Rep. Michael Cloud ,Republican,TX-27,South
89,5001900US1211,Florida,28.56,-81.58,geometry and state name,28.56,-81.58,Energy Efficiency and Conservation Block Grant Program,,Florida,0,76560,76560,0,Other,CITY OF WINTER GARDEN,All,Yes,No,Rep. Daniel Webster ,Republican,FL-11,South
90,5001900US1208,Florida,28.59,-80.82,geometry and state name,28.59,-80.82,Energy Efficiency and Conservation Block Grant Program,,Florida,0,76680,76680,0,Other,CITY OF TITUSVILLE,All,Yes,No,Rep. Mike Haridopolos ,Republican,FL-08,South
91,5001900US1211,Florida,28.74,-82.06,geometry and state name,28.74,-82.06,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Florida,0,52857560,52857560,0,Grid,"SUMTER ELECTRIC COOPERATIVE, INC.",All,Yes,No,Rep. Daniel Webster ,Republican,FL-11,South
92,5001900US1207,Florida,28.78,-81.27,geometry and state name,28.78,-81.27,Energy Efficiency and Conservation Block Grant Program,,Florida,0,287440,287440,0,Other,SEMINOLE COUNTY,All,Yes,No,Rep. Cory Mills ,Republican,FL-07,South
93,5001900US4814,Texas,28.95,-95.35,geometry and state name,28.95,-95.35,Battery Manufacturing and Recycling Grants,,Texas,0,100000000,100000000,0,Batteries,"Dow Chemical Company, The",All - Manufacturing,Yes,No,Rep. Randy Weber Sr.,Republican,TX-14,South
94,5001900US4814,Texas,29.021,-95.278,geometry and state name¹,29,-95.29,Aleon Renewable Metals,Freeport,Texas,75000000,0,75000000,0,Batteries,Aleon Renewable Metals,All - Manufacturing,No,Yes,Rep. Randy Weber Sr.,Republican,TX-14,South
95,5001900US4828,Texas,29.3,-98.4,geometry and state name,29.3,-98.4,Mission Solar/OCI,San Antonio,Texas,40000000,0,40000000,150,Solar,Mission Solar/OCI,All - Manufacturing,No,Yes,Rep. Henry Cuellar ,Democrat,TX-28,South
96,5001900US4835,Texas,29.42,-98.49,geometry and state name,29.42,-98.49,Smart Grid Investment Matching Grants Program,,Texas,0,30227510,30227510,0,Grid,City Public Services Board,All,Yes,No,Rep. Greg Casar ,Democrat,TX-35,South
97,5001900US4835,Texas,29.42,-98.49,geometry and state name,29.42,-98.49,Energy Efficiency and Conservation Block Grant Program,,Texas,0,464940,464940,0,Other,BEXAR COUNTY AUDITOR,All,Yes,No,Rep. Greg Casar ,Democrat,TX-35,South
98,5001900US4835,Texas,29.42,-98.49,geometry and state name,29.42,-98.49,Energy Efficiency and Conservation Block Grant Program,,Texas,0,1220460,1220460,0,Other,"San Antonio, City of",All,Yes,No,Rep. Greg Casar ,Democrat,TX-35,South
99,5001900US2201,Louisiana,29.5,-90.29,geometry and state name,29.5,-90.29,Edison Chouest Offshore,Houma,Louisiana,0,0,0,0,Offshore Wind,Edison Chouest Offshore,All - Manufacturing,No,Yes,Rep. Steve Scalise ,Republican,LA-01,South
100,5001900US4829,Texas,29.678,-95.203,geometry and state name¹,29.6,-95,Zeon Corporation,Pasadena,Texas,0,0,0,0,Batteries,Zeon Corporation,All - Manufacturing,No,Yes,Rep. Sylvia Garcia ,Democrat,TX-29,South
101,5001900US1206,Florida,29.6,-81.59,geometry and state name,29.6,-81.59,WINDEA CTV LLC,Palatka,Florida,0,0,0,0,Offshore Wind,WINDEA CTV LLC,All - Manufacturing,No,Yes,Rep. Michael Waltz ,Republican,FL-06,South
102,5001900US1206,Florida,29.6,-81.59,geometry and state name,29.6,-81.59,WINDEA CTV LLC,Palatka,Florida,0,0,0,0,Offshore Wind,WINDEA CTV LLC,All - Manufacturing,No,Yes,Rep. Michael Waltz ,Republican,FL-06,South
103,5001900US4809,Texas,29.6,-95.4,geometry and state name,29.6,-95.4,PV Hardware,Houston,Texas,30000000,0,30000000,0,Solar,PV Hardware,All - Manufacturing,No,Yes,Rep. Al Green ,Democrat,TX-09,South
104,5001900US1203,Florida,29.66,-82.33,geometry and state name,29.66,-82.33,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Florida,0,47514590,47514590,0,Grid,GAINESVILLE REGIONAL UTILITIES,All,Yes,No,Rep. Kat Cammack ,Republican,FL-03,South
105,5001900US4836,Texas,29.66,-95.04,geometry and state name,29.66,-95.04,Battery Manufacturing and Recycling Grants,,Texas,0,50000000,50000000,0,Batteries,"BRASKEM AMERICA, INC",All - Manufacturing,Yes,No,Rep. Brian Babin ,Republican,TX-36,South
106,5001900US1203,Florida,29.66,-82.33,geometry and state name,29.66,-82.33,Energy Efficiency and Conservation Block Grant Program,,Florida,0,189820,189820,0,Other,GAINESVILLE REGIONAL UTILITIES,All,Yes,No,Rep. Kat Cammack ,Republican,FL-03,South
107,5001900US4836,Texas,29.688,-95.051,geometry and state name¹,29.69,-95,Orion,La Porte,Texas,120000000,0,120000000,0,Batteries,Orion,All - Manufacturing,No,Yes,Rep. Brian Babin ,Republican,TX-36,South
108,5001900US4836,Texas,29.69,-94.9,geometry and state name,29.69,-94.9,JSW Steel USA,Baytown,Texas,110000000,0,110000000,0,Offshore Wind,JSW Steel USA,All - Manufacturing,No,Yes,Rep. Brian Babin ,Republican,TX-36,South
109,5001900US4836,Texas,29.69,-95.09,geometry and state name,29.69,-95.09,Braskem America,La Porte,Texas,50000000,0,50000000,250,Batteries,Braskem America,All - Manufacturing,No,Yes,Rep. Brian Babin ,Republican,TX-36,South
110,5001900US4818,Texas,29.76,-95.35,geometry and state name,29.76,-95.35,John Cockerill Hydrogen North America,Houston,Texas,34000000,0,34000000,200,Hydrogen,John Cockerill Hydrogen North America,All - Manufacturing,No,Yes,Rep. Sylvester Turner ,Democrat,TX-18,South
111,5001900US4818,Texas,29.76,-95.38,geometry and state name,29.76,-95.38,Carbon Capture Demonstration Projects Program,,Texas,0,270000000,270000000,0,Fossil,"CALPINE TEXAS CCUS HOLDINGS, LLC",All,Yes,No,Rep. Sylvester Turner ,Democrat,TX-18,South
